id,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,country,city,category
19932,0,0,0,0,0,0,0,1,0,19,41,44,25,17,75,56,22,30,38,40,32,21,10,0,0,2,0
19933,0,0,0,0,0,0,0,1,5,17,29,38,37,30,23,20,21,26,29,29,26,19,11,0,0,2,0
19934,0,0,0,0,0,0,0,0,0,17,27,35,42,47,55,68,75,63,38,0,0,0,0,0,0,2,0
19935,0,0,0,0,0,0,0,0,0,17,26,26,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19936,0,0,0,0,0,0,0,4,11,17,22,23,22,18,14,12,13,14,16,15,14,9,4,0,0,2,0
19937,0,0,0,0,0,0,0,2,10,19,27,33,35,32,28,23,21,23,29,31,29,20,9,0,0,2,0
19938,0,0,0,0,0,0,0,0,11,39,62,57,49,49,50,62,75,56,21,3,0,0,0,0,0,2,0
19939,0,0,0,0,0,0,0,0,20,39,56,62,53,43,45,56,60,45,23,0,0,0,0,0,0,2,0
19940,0,0,0,0,0,0,0,11,20,33,45,56,62,62,57,50,44,41,40,38,33,26,16,7,0,2,0
19941,0,0,0,0,0,0,0,5,17,33,50,62,65,62,55,47,43,43,47,50,45,32,16,4,0,2,0
19942,0,0,0,0,0,0,0,6,32,61,68,59,47,41,36,30,24,20,22,28,30,24,12,0,0,2,0
19943,0,0,0,0,0,0,0,4,22,47,67,75,68,54,36,28,30,38,48,53,48,36,20,0,0,2,0
19944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19946,24,0,0,0,0,0,0,9,19,29,39,47,52,55,56,53,47,38,30,30,38,50,52,41,0,2,0
19947,16,0,0,0,0,0,0,3,14,29,48,65,75,74,65,50,38,31,31,37,44,47,42,29,0,2,0
19948,0,0,0,0,0,0,0,0,0,19,28,25,33,47,58,61,50,36,22,0,0,0,0,0,0,2,0
19949,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,17,25,28,25,0,0,0,0,0,0,2,0
19950,0,0,0,0,0,0,0,8,26,48,65,66,56,46,45,51,59,60,56,48,39,30,22,14,0,2,0
19951,0,0,0,0,0,0,0,8,22,43,62,74,71,59,48,46,52,59,62,59,47,32,19,8,0,2,0
19952,0,0,0,0,0,0,0,16,34,56,73,75,62,43,30,26,28,31,32,32,27,21,15,0,0,2,0
19953,0,0,0,0,0,0,0,14,32,53,71,74,62,41,24,17,20,26,33,35,30,23,14,0,0,2,0
19954,31,0,0,0,0,0,0,6,20,35,45,49,47,41,35,35,37,40,41,40,39,40,41,39,0,2,0
19955,1,0,0,0,0,0,0,5,14,33,55,71,75,64,47,34,32,41,56,64,59,41,19,1,0,2,0
19956,34,35,38,43,45,44,34,23,11,4,4,4,11,26,43,56,60,58,53,50,47,45,41,36,0,2,0
19957,39,44,47,46,37,25,38,30,20,10,2,4,8,16,26,40,55,67,74,75,68,57,46,39,0,2,0
19958,0,0,0,0,0,0,0,8,29,53,68,68,56,42,36,40,47,50,50,44,38,29,20,9,0,2,0
19959,0,0,0,0,0,0,0,8,25,45,64,75,75,65,52,40,34,35,42,55,68,63,39,12,0,2,0
19960,75,65,47,27,11,0,1,1,5,19,35,47,49,42,34,31,34,37,37,35,37,47,61,73,0,2,0
19961,40,26,14,5,1,1,1,4,10,17,24,31,35,37,36,33,30,29,31,37,46,53,55,50,0,2,0
19962,0,0,0,0,0,0,0,0,0,4,12,26,44,63,75,74,62,44,36,51,64,41,0,0,0,2,0
19963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19964,0,0,0,0,0,0,0,0,24,39,53,63,71,75,74,68,58,44,32,0,0,0,0,0,0,2,0
19965,0,0,0,0,0,0,0,0,12,27,45,60,68,69,68,65,58,43,26,0,0,0,0,0,0,2,0
19966,0,0,0,0,0,0,0,11,20,32,44,53,57,56,50,41,35,30,29,30,30,26,20,0,0,2,0
19967,0,0,0,0,0,0,0,8,15,26,41,56,68,75,73,63,50,40,38,48,57,49,26,0,0,2,0
19968,56,63,64,59,52,46,41,38,35,35,36,38,42,46,49,49,46,41,35,29,26,26,34,45,0,2,0
19969,39,35,32,29,31,34,38,43,45,46,44,42,41,42,46,50,52,51,48,44,42,42,42,41,0,2,0
19970,0,0,0,0,0,0,0,5,20,38,51,52,41,29,25,28,32,36,36,32,24,16,8,2,0,2,0
19971,0,0,0,0,0,0,0,7,32,63,75,58,38,39,41,35,35,41,42,37,27,16,6,1,0,2,0
19972,0,0,0,0,0,0,0,1,7,14,17,14,11,12,13,12,11,9,10,11,10,7,2,0,0,2,0
19973,0,0,0,0,0,0,0,1,7,12,15,14,11,11,14,14,8,2,2,5,7,5,2,0,0,2,0
19974,0,0,0,0,0,0,0,8,23,44,64,73,66,50,36,28,26,26,26,24,20,15,10,0,0,2,0
19975,0,0,0,0,0,0,0,5,19,40,62,74,68,49,32,23,22,25,27,29,29,24,14,0,0,2,0
19976,0,0,0,0,0,0,0,0,0,0,11,17,22,26,26,23,34,59,59,26,0,0,0,0,0,2,0
19977,0,0,0,0,0,0,0,0,0,0,15,22,27,30,35,44,56,70,75,44,11,0,0,0,0,2,0
19978,0,0,0,0,0,0,0,32,42,50,55,58,58,58,56,55,53,50,50,45,39,34,28,0,0,2,0
19979,0,0,0,0,0,0,0,38,50,62,72,75,74,66,56,47,41,41,48,55,55,47,31,0,0,2,0
19980,1,0,0,0,0,0,0,1,19,45,63,62,47,35,38,50,52,43,31,27,29,28,20,7,0,2,0
19981,0,0,0,0,0,0,0,2,15,30,47,59,66,66,60,49,38,30,26,23,20,11,0,0,0,2,0
